GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),MarbelsPerPlayer(Player1Remaining Marbles),MarbelsPerPlayer(Player0Remaining Marbles),RuleCardsUsed(Rule-Setup),RuleCardsUsed(Rule-Movement),RuleCardsUsed(Rule-Push),RuleCardsUsed(Rule-PushOut),RuleCardsUsed(Rule-PushRequirement),RuleCardsUsed(Rule-Victory),PlayerType(PlayerType-1),PlayerType(PlayerType-0),MarbelsRemoved(Player0removed marbles),MarbelsRemoved(Player1removed marbles),WhoPushedOut(Player0Pushed Marbles),WhoPushedOut(Player1Pushed Marbles),Winner(PlayerIdx)
-913250485,MultiverseMarbles,0,GAME_OVER,170,169,2,2012,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,8,9,TWO_SIDES,MOVE_1,PUSH_1,CENTER_REPLACE,FEWER_OR_MORE,PUSH_OUT,MCTS,MCTS-OwnColor,[1],"[1, 1]","[1, 1, 1]","[1, 1, 1, 1, 0, 1]",1
1559195092,MultiverseMarbles,0,GAME_OVER,107,106,2,2013,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,9,9,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,CENTER_REPLACE,UNEVEN,ANY_THREE,MCTS,MCTS-OwnColor,[0],[1],"[1, 0]","[1, 0]",0
1864561815,MultiverseMarbles,0,GAME_OVER,99,98,2,2014,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,6,10,TWO_SIDES,MOVE_1,PUSH_1,CENTER_IF_FREE,FEWER_OR_MORE,PUSH_OUT,MCTS,MCTS-OwnColor,[],"[1, 0, 1, 0]",[],"[1, 0, 1, 1, 0, 0]",0
-2039094817,MultiverseMarbles,0,GAME_OVER,27,26,2,2015,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,10,10,TWO_SIDES,LEAPFROG,PUSH_1,CENTER_IF_FREE,MORE,ONE_OF_EACH,MCTS,MCTS-OwnColor,[],[],[0],[],0
-235034620,MultiverseMarbles,0,GAME_OVER,72,71,2,2016,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,9,10,TWO_SIDES,MOVE_2,PUSH_1,CENTER_IF_FREE,MORE,YOUR_COLOR,MCTS,MCTS-OwnColor,[],[0],[],"[1, 1, 0]",1
1269335879,MultiverseMarbles,0,GAME_OVER,19,18,2,2017,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,10,10,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,CENTER_REPLACE,UNEVEN,ANY_THREE,MCTS,MCTS-OwnColor,[],[],[],[],0
431095483,MultiverseMarbles,0,GAME_OVER,29,28,2,2018,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,10,9,TWO_SIDES,MOVE_2,PUSH_1,CENTER_IF_FREE,MORE,ONE_OF_EACH,MCTS,MCTS-OwnColor,[0],[],"[0, 0]",[1],0
1351053157,MultiverseMarbles,0,GAME_OVER,67,66,2,2019,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,9,9,TWO_SIDES,LEAPFROG,PUSH_1,CENTER_IF_FREE,MORE,YOUR_COLOR,MCTS,MCTS-OwnColor,[0],[1],[0],"[1, 1, 0, 0]",0
-6247650,MultiverseMarbles,0,GAME_OVER,69,68,2,2020,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,9,10,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,CENTER_REPLACE,MORE,YOUR_COLOR,MCTS,MCTS-OwnColor,[],[1],"[0, 0]","[1, 1, 1]",0
907849724,MultiverseMarbles,0,GAME_OVER,119,118,2,2021,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,8,8,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,OUT_IS_GONE,MORE,YOUR_COLOR,MCTS,MCTS-OwnColor,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",0
644567917,MultiverseMarbles,0,GAME_OVER,30,29,2,2022,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,10,10,TWO_SIDES,MOVE_2,PUSH_1,CENTER_IF_FREE,UNEVEN,ONE_OF_EACH,MCTS,MCTS-OwnColor,[],[],[],[],1
-1546668258,MultiverseMarbles,0,GAME_OVER,63,62,2,2023,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,3,7,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,OUT_IS_GONE,FEWER_OR_MORE,ANY_THREE,MCTS,MCTS-OwnColor,"[0, 1, 0]","[1, 1, 1, 1, 1, 1, 0]","[0, 1, 0]","[1, 1, 1, 1, 1, 1, 0]",0
-2063217777,MultiverseMarbles,0,GAME_OVER,200,200,2,2024,MCTS-OwnColor,-3.0,-3.0,MCTS,1,MCTS-OwnColor,1,1,1,MCTS,10,10,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,OUT_IS_GONE,FEWER_OR_EQUAL,PUSH_OUT,MCTS,MCTS-OwnColor,[],[],[],[],-1
1670761429,MultiverseMarbles,0,GAME_OVER,200,200,2,2025,MCTS-OwnColor,-3.0,-3.0,MCTS,1,MCTS-OwnColor,1,1,1,MCTS,10,10,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,OUT_IS_GONE,UNEVEN,PUSH_OUT,MCTS,MCTS-OwnColor,[],[],[],[],-1
-267074800,MultiverseMarbles,0,GAME_OVER,168,167,2,2026,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,8,7,TWO_SIDES,MOVE_2,PUSH_1,OUT_IS_GONE,EVEN,PUSH_OUT,MCTS,MCTS-OwnColor,"[1, 1, 1]","[1, 1]","[1, 1, 1]","[1, 1]",1
1526297594,MultiverseMarbles,0,GAME_OVER,67,66,2,2027,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,9,10,TWO_SIDES,LEAPFROG,PUSH_1,OUT_IS_GONE,FEWER_OR_MORE,YOUR_COLOR,MCTS,MCTS-OwnColor,[],[1],[],[1],0
1819990924,MultiverseMarbles,0,GAME_OVER,37,36,2,2028,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,8,10,TWO_SIDES,LEAPFROG,PUSH_1,CENTER_IF_FREE,FEWER_OR_MORE,ONE_OF_EACH,MCTS,MCTS-OwnColor,[],"[1, 0]",[0],"[1, 1, 0]",0
1083797973,MultiverseMarbles,0,GAME_OVER,36,35,2,2029,MCTS-OwnColor,1.0,-1.0,MCTS,1,MCTS-OwnColor,1,2,2,MCTS,9,10,TWO_SIDES,MOVE_2,PUSH_1,CENTER_REPLACE,MORE,ONE_OF_EACH,MCTS,MCTS-OwnColor,[0],[],[0],[1],1
1709386012,MultiverseMarbles,0,GAME_OVER,33,32,2,2030,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,8,8,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,CENTER_REPLACE,FEWER_OR_MORE,ONE_OF_EACH,MCTS,MCTS-OwnColor,[0],"[1, 1, 1]","[0, 0]","[1, 1, 1, 0, 1]",0
755183736,MultiverseMarbles,0,GAME_OVER,105,104,2,2031,MCTS-OwnColor,-1.0,1.0,MCTS,2,MCTS-OwnColor,2,1,1,MCTS,10,10,TWO_SIDES,MOVE_1,PUSH_1,CENTER_REPLACE,FEWER_OR_EQUAL,ONE_OF_EACH,MCTS,MCTS-OwnColor,[],[],[],[],0
