rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins
movement_pushout,MOVE_1_CENTER_IF_FREE,movement: MOVE_1 + pushout: CENTER_IF_FREE,0.47202797202797203,858.0,405.0
movement_pushout,LEAPFROG_CENTER_REPLACE,movement: LEAPFROG + pushout: CENTER_REPLACE,0.4706666666666667,750.0,353.0
movement_pushrequirement,LEAPFROG_MORE_OR_EQUAL,movement: LEAPFROG + pushrequirement: MORE_OR_EQUAL,0.47023809523809523,336.0,158.0
movement_pushrequirement,MOVE_1_UNEVEN,movement: MOVE_1 + pushrequirement: UNEVEN,0.46994535519125685,366.0,172.0
pushout,CENTER_REPLACE,pushout: CENTER_REPLACE,0.4699404761904762,3360.0,1579.0
push_pushout,PUSH_1_CENTER_REPLACE,push: PUSH_1 + pushout: CENTER_REPLACE,0.4699404761904762,3360.0,1579.0
movement_victory,MOVE_1_YOUR_COLOR,movement: MOVE_1 + victory: YOUR_COLOR,0.4689922480620155,516.0,242.0
movement_push,MOVE_EXACTLY_2_PUSH_1,movement: MOVE_EXACTLY_2 + push: PUSH_1,0.46853932584269664,2670.0,1251.0
movement,MOVE_EXACTLY_2,movement: MOVE_EXACTLY_2,0.46853932584269664,2670.0,1251.0
movement_pushout,MOVE_1_OUT_IS_GONE,movement: MOVE_1 + pushout: OUT_IS_GONE,0.4666666666666667,750.0,350.0
pushout_victory,CENTER_REPLACE_ONE_OF_EACH,pushout: CENTER_REPLACE + victory: ONE_OF_EACH,0.4650900900900901,888.0,413.0
pushrequirement_victory,FEWER_OR_EQUAL_ANY_THREE,pushrequirement: FEWER_OR_EQUAL + victory: ANY_THREE,0.46474358974358976,312.0,145.0
movement_pushout,MOVE_2_CENTER_REPLACE,movement: MOVE_2 + pushout: CENTER_REPLACE,0.4645390070921986,846.0,393.0
movement_push,MOVE_1_PUSH_1,movement: MOVE_1 + push: PUSH_1,0.4638211382113821,2460.0,1141.0
movement,MOVE_1,movement: MOVE_1,0.4638211382113821,2460.0,1141.0
pushrequirement_victory,FEWER_OR_MORE_PUSH_OUT,pushrequirement: FEWER_OR_MORE + victory: PUSH_OUT,0.4619883040935672,342.0,158.0
movement_pushrequirement,MOVE_2_MORE,movement: MOVE_2 + pushrequirement: MORE,0.46130952380952384,336.0,155.0
movement_pushout,MOVE_EXACTLY_2_CENTER_IF_FREE,movement: MOVE_EXACTLY_2 + pushout: CENTER_IF_FREE,0.4583333333333333,888.0,407.0
movement_victory,MOVE_EXACTLY_2_YOUR_COLOR,movement: MOVE_EXACTLY_2 + victory: YOUR_COLOR,0.4566929133858268,762.0,348.0
movement_pushout,MOVE_EXACTLY_2_OUT_IS_GONE,movement: MOVE_EXACTLY_2 + pushout: OUT_IS_GONE,0.45632183908045976,870.0,397.0
movement_pushout,MOVE_1_CENTER_REPLACE,movement: MOVE_1 + pushout: CENTER_REPLACE,0.45305164319248825,852.0,386.0
pushout_victory,OUT_IS_GONE_YOUR_COLOR,pushout: OUT_IS_GONE + victory: YOUR_COLOR,0.45255474452554745,822.0,372.0
movement_pushrequirement,LEAPFROG_FEWER_OR_EQUAL,movement: LEAPFROG + pushrequirement: FEWER_OR_EQUAL,0.44907407407407407,216.0,97.0
movement_pushrequirement,LEAPFROG_UNEVEN,movement: LEAPFROG + pushrequirement: UNEVEN,0.44623655913978494,372.0,166.0
pushout_victory,CENTER_REPLACE_PUSH_OUT,pushout: CENTER_REPLACE + victory: PUSH_OUT,0.44323671497584544,828.0,367.0
movement_pushrequirement,LEAPFROG_EQUAL,movement: LEAPFROG + pushrequirement: EQUAL,0.44025157232704404,318.0,140.0
pushout_pushrequirement,OUT_IS_GONE_EQUAL,pushout: OUT_IS_GONE + pushrequirement: EQUAL,0.4360730593607306,438.0,191.0
movement_victory,LEAPFROG_PUSH_OUT,movement: LEAPFROG + victory: PUSH_OUT,0.43234323432343236,606.0,262.0
pushrequirement_victory,FEWER_OR_EQUAL_ONE_OF_EACH,pushrequirement: FEWER_OR_EQUAL + victory: ONE_OF_EACH,0.43154761904761907,336.0,145.0
movement_victory,MOVE_2_PUSH_OUT,movement: MOVE_2 + victory: PUSH_OUT,0.4221183800623053,642.0,271.0
victory,PUSH_OUT,victory: PUSH_OUT,0.4220833333333333,2400.0,1013.0
push_victory,PUSH_1_PUSH_OUT,push: PUSH_1 + victory: PUSH_OUT,0.4220833333333333,2400.0,1013.0
movement_victory,MOVE_EXACTLY_2_PUSH_OUT,movement: MOVE_EXACTLY_2 + victory: PUSH_OUT,0.421875,576.0,243.0
pushout_victory,OUT_IS_GONE_PUSH_OUT,pushout: OUT_IS_GONE + victory: PUSH_OUT,0.42133333333333334,750.0,316.0
movement_pushrequirement,MOVE_2_EQUAL,movement: MOVE_2 + pushrequirement: EQUAL,0.41830065359477125,306.0,128.0
pushout_pushrequirement,CENTER_REPLACE_FEWER_OR_EQUAL,pushout: CENTER_REPLACE + pushrequirement: FEWER_OR_EQUAL,0.4178082191780822,438.0,183.0
pushout_pushrequirement,CENTER_REPLACE_EQUAL,pushout: CENTER_REPLACE + pushrequirement: EQUAL,0.4156378600823045,486.0,202.0
movement_victory,MOVE_1_PUSH_OUT,movement: MOVE_1 + victory: PUSH_OUT,0.4114583333333333,576.0,237.0
pushrequirement,EQUAL,pushrequirement: EQUAL,0.41025641025641024,1326.0,544.0
push_pushrequirement,PUSH_1_EQUAL,push: PUSH_1 + pushrequirement: EQUAL,0.41025641025641024,1326.0,544.0
movement_pushrequirement,MOVE_EXACTLY_2_EQUAL,movement: MOVE_EXACTLY_2 + pushrequirement: EQUAL,0.4068627450980392,408.0,166.0
pushout_pushrequirement,CENTER_IF_FREE_FEWER_OR_EQUAL,pushout: CENTER_IF_FREE + pushrequirement: FEWER_OR_EQUAL,0.4054726368159204,402.0,163.0
movement_pushrequirement,MOVE_2_FEWER_OR_EQUAL,movement: MOVE_2 + pushrequirement: FEWER_OR_EQUAL,0.4051724137931034,348.0,141.0
pushout_victory,CENTER_IF_FREE_PUSH_OUT,pushout: CENTER_IF_FREE + victory: PUSH_OUT,0.40145985401459855,822.0,330.0
pushrequirement,FEWER_OR_EQUAL,pushrequirement: FEWER_OR_EQUAL,0.40129449838187703,1236.0,496.0
push_pushrequirement,PUSH_1_FEWER_OR_EQUAL,push: PUSH_1 + pushrequirement: FEWER_OR_EQUAL,0.40129449838187703,1236.0,496.0
pushrequirement_victory,FEWER_OR_EQUAL_YOUR_COLOR,pushrequirement: FEWER_OR_EQUAL + victory: YOUR_COLOR,0.39880952380952384,336.0,134.0
pushrequirement_victory,EQUAL_YOUR_COLOR,pushrequirement: EQUAL + victory: YOUR_COLOR,0.3974358974358974,390.0,155.0
movement_pushrequirement,MOVE_EXACTLY_2_FEWER_OR_EQUAL,movement: MOVE_EXACTLY_2 + pushrequirement: FEWER_OR_EQUAL,0.3897849462365591,372.0,145.0
pushout_pushrequirement,OUT_IS_GONE_FEWER_OR_EQUAL,pushout: OUT_IS_GONE + pushrequirement: FEWER_OR_EQUAL,0.3787878787878788,396.0,150.0
movement_pushrequirement,MOVE_1_FEWER_OR_EQUAL,movement: MOVE_1 + pushrequirement: FEWER_OR_EQUAL,0.37666666666666665,300.0,113.0
pushout_pushrequirement,CENTER_IF_FREE_EQUAL,pushout: CENTER_IF_FREE + pushrequirement: EQUAL,0.3756218905472637,402.0,151.0
movement_pushrequirement,MOVE_1_EQUAL,movement: MOVE_1 + pushrequirement: EQUAL,0.3741496598639456,294.0,110.0
pushrequirement_victory,UNEVEN_PUSH_OUT,pushrequirement: UNEVEN + victory: PUSH_OUT,0.3655913978494624,372.0,136.0
pushrequirement_victory,FEWER_OR_EQUAL_PUSH_OUT,pushrequirement: FEWER_OR_EQUAL + victory: PUSH_OUT,0.2857142857142857,252.0,72.0
pushrequirement_victory,EQUAL_PUSH_OUT,pushrequirement: EQUAL + victory: PUSH_OUT,0.2534722222222222,288.0,73.0
