Category,Count
"[1, 1, 1, 0, 1, 1, 1, 1, 0]",1
"[0, 0, 0, 0, 0]",8
"[1, 1, 0, 0, 0, 1]",2
"[1, 0, 0, 1, 1]",5
"[0, 0, 0, 1, 1, 0, 0]",1
"[1, 0, 0, 0, 1, 0, 0, 1]",1
"[0, 1, 1, 1, 0]",3
"[0, 1, 0, 1]",20
"[0, 1, 1, 1]",64
"[1, 0, 1, 1, 1, 1]",1
"[1, 0, 1, 1, 1]",3
"[1, 0, 1, 0, 1]",3
"[1, 0, 1, 0, 0, 0, 1, 1, 0]",1
"[0, 1, 1, 1, 0, 1, 1, 1, 0]",1
"[1, 1, 0]",15
"[0, 1, 1, 0, 1, 1]",3
"[0, 0, 1, 0, 1, 1]",3
"[1, 0, 1, 1, 1, 1, 1, 1]",1
"[0, 0]",215
"[0, 0, 0, 1, 1]",2
"[0, 0, 1, 0, 1, 0]",1
"[0, 0, 0, 0, 1, 1, 1]",9
"[1, 1, 1, 1, 1]",10
"[1, 0]",56
"[1, 1, 1, 1]",26
"[0, 0, 1, 1, 0, 1, 1, 1]",1
"[0, 0, 1, 0, 0, 1]",1
"[0, 1, 1, 1, 0, 1, 1]",1
"[0, 0, 1, 0, 0, 1, 0, 1]",2
"[0, 1, 1, 0, 0]",1
"[1, 1, 0, 0]",3
"[1, 1, 1, 1, 1, 1]",2
"[0, 0, 1, 0, 1]",4
"[0, 1, 0, 1, 1, 1]",2
"[0, 1]",197
"[0, 0, 0, 1, 0, 0]",1
"[1, 0, 0, 0, 1, 1, 1, 0]",1
"[1, 1, 1, 1, 1, 1, 1]",3
"[0, 0, 1, 0]",11
"[0, 0, 0]",55
"[0, 1, 1, 1, 1]",9
"[0, 1, 1, 0]",17
"[1, 1, 1, 1, 1, 0, 1, 1, 1]",1
"[1, 1, 0, 0, 0, 0, 1]",1
"[0, 0, 0, 0, 1, 1, 0, 0, 0]",1
"[0, 0, 1, 0, 0]",4
"[0, 0, 0, 1, 0, 1]",1
"[0, 0, 1, 1, 1]",20
"[0, 1, 1, 0, 0, 0, 1]",1
"[0, 1, 1, 0, 0, 1]",6
"[0, 0, 0, 0, 0, 0, 0, 1, 0]",1
"[1, 1, 1, 0]",10
"[0, 1, 1, 1, 1, 0, 1, 0, 0]",1
"[1, 0, 1, 1, 0, 0, 0]",1
"[1, 1, 1, 0, 0]",2
"[1, 1, 1, 0, 0, 0, 1]",1
"[0, 0, 0, 0, 1, 0, 0, 0, 0]",1
"[0, 0, 0, 1, 1, 0]",1
"[0, 0, 0, 0, 0, 1, 1]",1
"[0, 0, 0, 0]",23
"[0, 0, 1, 0, 0, 1, 1, 0, 1]",1
"[0, 1, 1, 0, 1]",12
"[0, 0, 0, 0, 1, 0]",1
"[0, 0, 1, 1, 1, 1]",3
"[0, 1, 0, 1, 1]",17
"[0, 0, 0, 1]",31
"[1, 0, 1, 0, 1, 1]",1
"[0, 1, 0, 1, 0]",1
"[1, 1, 1, 1, 0, 1, 1]",1
"[0, 0, 1, 0, 0, 0]",1
"[0, 0, 1, 1, 0, 0]",1
"[0, 0, 0, 1, 0]",4
"[0, 0, 0, 1, 1, 1]",13
"[0, 0, 0, 0, 1, 0, 1]",1
"[1, 0, 1]",42
"[0, 0, 1, 0, 0, 1, 1]",2
"[1, 1, 0, 1, 1]",3
"[1, 1, 0, 0, 1, 1, 1, 1]",2
"[1, 1, 0, 1, 1, 1]",1
"[1, 0, 1, 1]",20
"[0, 1, 0, 1, 0, 1]",3
"[0, 0, 0, 1, 1, 0, 1]",2
"[0, 1, 1, 0, 0, 0, 0, 0, 0]",1
"[0, 1, 0]",39
"[1, 1, 0, 1]",23
"[1, 0, 0, 0, 0]",2
"[0, 1, 0, 0]",3
"[1, 0, 0, 0, 1]",2
[],6171
[1],1004
"[0, 0, 0, 1, 1, 1, 1]",2
[0],625
"[1, 1, 1]",359
"[1, 0, 0]",14
"[0, 1, 0, 1, 1, 1, 1, 1]",1
"[0, 0, 1, 0, 0, 1, 1, 1]",1
"[0, 1, 1, 1, 1, 1, 1]",2
"[0, 0, 1, 1, 1, 0]",1
"[1, 1]",499
"[0, 0, 0, 0, 1, 1, 1, 0, 0]",1
"[0, 0, 1]",48
"[1, 1, 1, 0, 1, 1, 1]",1
"[1, 1, 1, 1, 1, 1, 1, 1]",1
"[1, 1, 1, 1, 1, 0]",1
"[0, 1, 1]",92
"[0, 1, 0, 1, 1, 1, 1]",1
"[1, 0, 0, 1]",5
"[0, 1, 0, 0, 0]",2
"[0, 1, 0, 0, 1]",6
"[0, 1, 1, 1, 1, 1]",2
"[1, 0, 0, 0]",1
"[0, 0, 0, 0, 0, 1]",2
"[1, 0, 1, 1, 1, 1, 1, 1, 0]",1
"[0, 1, 0, 1, 0, 0, 1]",1
"[1, 1, 0, 1, 1, 1, 0]",1
"[1, 0, 1, 1, 1, 0, 1]",1
"[1, 1, 1, 0, 1, 1]",1
"[1, 1, 0, 0, 1]",5
"[0, 0, 1, 1]",20
"[1, 0, 1, 0]",2
"[0, 0, 0, 1, 0, 0, 0, 0, 1]",1
"[0, 1, 1, 1, 1, 1, 1, 0, 0]",1
"[1, 0, 1, 0, 0, 1]",1
"[0, 0, 0, 0, 0, 0]",2
"[1, 1, 0, 1, 0, 1]",1
"[0, 1, 0, 0, 0, 1]",1
"[1, 1, 1, 0, 1]",3
"[1, 0, 1, 0, 0]",1
"[0, 0, 0, 1, 0, 1, 1]",3
"[0, 1, 0, 0, 1, 1]",4
