Category,Count
"[0, 0, 1, 1, 1, 0]",1
"[1, 1, 0]",5
"[1, 1, 0, 0, 0]",1
"[0, 1, 0]",1
"[0, 0, 1, 1]",1
"[1, 0, 0]",6
"[1, 1, 0, 1, 1, 0]",1
"[1, 1, 0, 0, 0, 0, 0]",1
"[1, 1, 1, 0]",1
"[0, 1, 0, 0]",2
"[1, 1, 0, 0, 0, 0]",1
"[1, 1, 1, 1, 0, 1, 0, 0]",1
[1],68
"[1, 0, 0, 0, 1]",1
"[1, 0, 0, 0]",7
"[1, 0, 0, 1, 0]",2
"[1, 1, 1]",5
"[1, 1]",22
"[0, 0]",38
"[1, 0]",19
[0],102
"[0, 0, 0]",33
[],626
"[1, 0, 1, 1, 0, 1, 0]",1
"[1, 0, 1, 0]",1
"[1, 1, 1, 0, 0]",1
"[1, 1, 0, 1, 1, 0, 0]",1
"[0, 0, 1, 1, 0]",2
"[0, 1]",6
"[1, 0, 1]",2
"[1, 1, 0, 0]",2
"[0, 1, 1]",2
"[1, 1, 1, 0, 1]",1
"[1, 0, 0, 0, 0]",1
"[1, 1, 0, 1, 0]",1
"[1, 0, 1, 1, 0]",1
"[1, 1, 1, 1, 1, 0, 1]",1
"[1, 1, 1, 0, 1, 0, 0]",1
"[0, 0, 0, 0]",3
"[1, 0, 0, 1, 1, 0]",1
"[0, 0, 0, 1, 0]",1
"[1, 1, 0, 1, 0, 1, 0]",1
"[1, 1, 0, 0, 1, 0]",1
"[1, 0, 0, 1, 1, 1, 0]",2
"[1, 1, 1, 1, 0, 0]",1
"[1, 1, 1, 0, 1, 0]",1
"[0, 0, 0, 0, 0]",1
"[1, 0, 1, 1, 0, 0]",1
"[1, 0, 0, 0, 0, 0, 0, 0, 1]",1
"[0, 0, 1]",4
"[1, 1, 1, 0, 0, 1, 1, 1, 0]",1
"[0, 1, 1, 0]",1
"[1, 0, 1, 1, 1, 0, 0]",1
"[1, 1, 1, 0, 0, 0]",1
"[1, 0, 1, 0, 0, 0, 0, 1, 1]",1
"[1, 1, 1, 1, 1]",1
"[0, 0, 1, 0]",2
"[1, 0, 1, 1]",1
