rule_type,avg_win_rate,min_win_rate,max_win_rate,std_win_rate,total_combinations
movement,0.4491284554317554,0.4121951219512195,0.4816272965879265,0.028733341239681118,4
movement_push,0.4491284554317554,0.4121951219512195,0.4816272965879265,0.028733341239681118,4
movement_pushout,0.44904476067962124,0.38380281690140844,0.5120967741935484,0.04140616951667418,12
movement_pushrequirement,0.44394417099118266,0.20408163265306123,0.5961538461538461,0.09359125764159065,28
movement_victory,0.44751879040388604,0.3865979381443299,0.5044642857142857,0.039263218727146276,16
push,0.4486794717887155,0.4486794717887155,0.4486794717887155,,1
push_pushout,0.448538354703601,0.4399260628465804,0.46283185840707963,0.012464990717930703,3
push_pushrequirement,0.44385156674212883,0.32038834951456313,0.5108225108225108,0.08523648905786074,7
push_victory,0.44819702676411216,0.43375,0.4683257918552036,0.014532068232788475,4
pushout,0.448538354703601,0.4399260628465804,0.46283185840707963,0.012464990717930703,3
pushout_pushrequirement,0.4437600559206448,0.29012345679012347,0.5487804878048781,0.086747299612031,21
pushout_victory,0.4478376005454175,0.3978102189781022,0.4891304347826087,0.030503255585203035,12
pushrequirement,0.44385156674212883,0.32038834951456313,0.5108225108225108,0.08523648905786074,7
pushrequirement_victory,0.44389339114476684,0.19791666666666666,0.5746268656716418,0.0993160526635422,28
victory,0.44819702676411216,0.43375,0.4683257918552036,0.014532068232788475,4
