Setup_TWO_SIDES,Movement_MOVE_EXACTLY_2,Movement_LEAPFROG,Movement_MOVE_1,Movement_MOVE_2,Push_PUSH_1,PushOut_OUT_IS_GONE,PushOut_CENTER_IF_FREE,PushOut_CENTER_REPLACE,PushRequirement_EQUAL,PushRequirement_MORE,PushRequirement_FEWER_OR_EQUAL,PushRequirement_FEWER_OR_MORE,PushRequirement_MORE_OR_EQUAL,PushRequirement_EVEN,PushRequirement_UNEVEN,Victory_YOUR_COLOR,Victory_ANY_THREE,Victory_ONE_OF_EACH,Victory_PUSH_OUT,total_games,player0_wins,player0_win_rate,ci_lower,ci_upper,rule_description
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8,2,0.25,-0.050062493490939275,0.5500624934909393,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: MORE | Victory: ONE_OF_EACH
1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8,2,0.25,-0.050062493490939275,0.5500624934909393,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8,2,0.25,-0.050062493490939275,0.5500624934909393,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: YOUR_COLOR
1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14,4,0.2857142857142857,0.04907109439030105,0.5223574770382704,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,14,4,0.2857142857142857,0.04907109439030105,0.5223574770382704,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: EVEN | Victory: ONE_OF_EACH
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,14,4,0.2857142857142857,0.04907109439030105,0.5223574770382704,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: EQUAL | Victory: YOUR_COLOR
1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,14,4,0.2857142857142857,0.04907109439030105,0.5223574770382704,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: MORE | Victory: YOUR_COLOR
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,14,4,0.2857142857142857,0.04907109439030105,0.5223574770382704,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: ONE_OF_EACH
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,14,4,0.2857142857142857,0.04907109439030105,0.5223574770382704,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: MORE_OR_EQUAL | Victory: ONE_OF_EACH
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,14,4,0.2857142857142857,0.04907109439030105,0.5223574770382704,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: ANY_THREE
1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14,4,0.2857142857142857,0.04907109439030105,0.5223574770382704,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: MORE_OR_EQUAL | Victory: ONE_OF_EACH
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: YOUR_COLOR
1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EQUAL | Victory: ONE_OF_EACH
1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EQUAL | Victory: ANY_THREE
1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: YOUR_COLOR
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: YOUR_COLOR
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: MORE | Victory: ONE_OF_EACH
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EQUAL | Victory: ANY_THREE
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: UNEVEN | Victory: ANY_THREE
1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: MORE_OR_EQUAL | Victory: ONE_OF_EACH
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: YOUR_COLOR
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: UNEVEN | Victory: YOUR_COLOR
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10,3,0.3,0.015969015774687012,0.584030984225313,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: UNEVEN | Victory: ONE_OF_EACH
