rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins,polarization
pushout_pushrequirement,"Pushed out marbles return to the center, if it is free. Else they are removed._You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",0.625,24.0,15.0,0.125
movement_pushrequirement,"Move 1 marble exactly 2 spaces in any direction._You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.","movement: Move 1 marble exactly 2 spaces in any direction. + pushrequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.",0.625,48.0,30.0,0.125
pushout_pushrequirement,Pushed out marbles are removed from play_You can push opposing marbles if you use fewer or more marbles.,pushout: Pushed out marbles are removed from play + pushrequirement: You can push opposing marbles if you use fewer or more marbles.,0.625,24.0,15.0,0.125
movement_victory,Move 1 marble exactly 2 spaces in any direction._Occupy 1 goal of each color.,movement: Move 1 marble exactly 2 spaces in any direction. + victory: Occupy 1 goal of each color.,0.6212121212121212,66.0,41.0,0.12121212121212122
pushout_victory,Pushed out marbles are removed from play_Push out 3 opposing marbles.,pushout: Pushed out marbles are removed from play + victory: Push out 3 opposing marbles.,0.3809523809523809,84.0,32.0,0.11904761904761912
pushrequirement_victory,"You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent._Occupy all goals of your color.","pushrequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent. + victory: Occupy all goals of your color.",0.6190476190476191,42.0,26.0,0.11904761904761907
pushrequirement_victory,"You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent._Occupy 3 non-neighbouring goals.","pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent. + victory: Occupy 3 non-neighbouring goals.",0.6190476190476191,42.0,26.0,0.11904761904761907
movement_victory,Move 1 marble by up to 3 spaces in any direction in a straight line._Occupy 1 goal of each color.,movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + victory: Occupy 1 goal of each color.,0.6111111111111112,72.0,44.0,0.11111111111111116
pushout_pushrequirement,Pushed out marbles are removed from play_You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,pushout: Pushed out marbles are removed from play + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.3888888888888889,54.0,21.0,0.1111111111111111
pushout_victory,"Pushed out marbles return to the center, if it is free. Else they are removed._Push out 3 opposing marbles.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + victory: Push out 3 opposing marbles.",0.3888888888888889,90.0,35.0,0.1111111111111111
movement_pushrequirement,Move 1 marble exactly 2 spaces in any direction._You can push opposing marbles if you use more marbles.,movement: Move 1 marble exactly 2 spaces in any direction. + pushrequirement: You can push opposing marbles if you use more marbles.,0.3888888888888889,54.0,21.0,0.1111111111111111
pushout_pushrequirement,Pushed out marbles return to the center. Remove any pre-existing marble._You can push opposing marbles if you use fewer or more marbles.,pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + pushrequirement: You can push opposing marbles if you use fewer or more marbles.,0.3958333333333333,48.0,19.0,0.10416666666666669
