Category,Count
"[0, 0, 1, 1, 1, 1, 1, 1, 0]",1
"[0, 0, 0, 1, 1, 0, 1]",7
"[1, 1, 0]",20
"[0, 0, 1, 1, 1, 0, 0, 0]",1
"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1]",1
"[1, 0, 0, 1, 1]",8
"[1, 1, 1, 1, 1, 0, 1, 1, 1]",1
"[1, 0, 1, 1, 1, 1]",1
"[1, 1, 0, 0, 1, 1, 1]",1
"[1, 1, 0, 1, 1, 1]",1
"[0, 1, 0]",36
"[0, 1, 1, 0, 1, 0, 1]",1
"[1, 0, 1, 0, 0, 0, 1]",1
"[1, 1, 1, 0, 1, 0, 1, 0, 1]",1
"[0, 0, 1, 0, 1, 1]",9
"[0, 1, 1, 1, 0]",4
"[0, 1, 1, 1, 0, 1, 1, 1, 0]",1
"[0, 1, 1, 1, 1, 0, 1]",1
"[1, 1, 0, 0, 0]",2
"[0, 1, 1, 0, 0, 0, 1]",1
"[1, 0, 0, 0, 1, 1, 1, 0]",1
"[0, 1, 1, 1, 1, 1, 0]",1
"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0]",1
"[0, 0, 0, 1, 1, 0, 0]",1
"[0, 1, 1, 1, 1, 0, 1, 0, 0]",1
"[0, 0, 1, 1, 0, 0, 1]",6
"[1, 1, 1, 1, 1, 1]",7
"[0, 0, 0, 0]",57
"[0, 1, 1, 1, 0, 1, 0, 0, 0]",1
"[0, 0, 0, 0, 0, 1]",13
"[1, 1, 1, 1, 1, 0]",1
"[1, 1, 1, 1, 0]",3
"[0, 0, 1, 0, 0, 0, 1, 0, 1]",1
"[1, 1, 0, 0, 1]",9
"[0, 1, 0, 1, 0, 1, 0, 1]",1
"[0, 1, 1, 0, 1]",33
"[0, 1, 0, 0, 1]",7
"[1, 1, 0, 0, 0, 1]",4
"[1, 0, 0, 1, 1, 1]",1
"[0, 1, 0, 1, 0]",1
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1
"[0, 1, 1, 1, 0, 1, 1]",1
"[0, 0, 1, 0, 0, 1, 0, 1]",2
"[0, 0, 1, 0, 0, 1, 1, 1]",1
"[0, 1, 0, 1, 1, 1]",3
"[1, 1, 1, 1, 1, 1, 1, 1]",3
"[0, 0, 0, 1, 0, 0, 0, 0, 1]",1
"[0, 0, 0, 0, 0]",26
"[0, 0, 0, 1, 0, 1]",8
"[1, 1, 1, 1, 1, 1, 0, 1]",1
"[0, 0, 0, 0, 1]",20
"[0, 0, 0, 0, 0, 0, 1]",2
"[1, 0, 1, 1]",32
"[1, 1, 0, 0, 0, 0, 1]",1
"[1, 1, 1, 0, 0, 1, 0]",1
"[0, 1, 0, 1, 0, 0, 1]",1
"[1, 0, 0, 1, 0, 0, 0, 1]",1
"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1]",1
"[0, 1, 0, 0, 0, 1, 1]",1
"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1
"[0, 0, 1, 0, 0, 1, 0, 0]",1
"[0, 0, 1, 1, 0, 0, 0]",1
"[0, 0, 1, 0, 0, 1, 1]",9
