Category,Count
Jump over 1 marble or blocker or move a marble by 1 space in any direction,22
Move 1 marble exactly 2 spaces in any direction.,35
Move 1 marble by 1 space in any direction.,18
Move 1 marble by up to 3 spaces in any direction in a straight line.,25
